Project Number,Capital Plan,Agency Name,Plan Revision,Budget Submission Date,Project Description,Change Narrative,Plan Year - Year 1 Allocation,Plan Year - Year 2 Allocation,Plan Year - Year 3 Allocation,Plan Year - Year 4 Allocation,Plan Year - Year 5 Allocation,Out Years Allocation,Total Allocation
T6050278,Capital Plan 2010 - 2014,New York City Transit,999999,Current,2013 Mainline Track Replacement on the 8th Avenue Line                                                                                                                                                                                                         ,,,,,6551,,,6551
T6050279,Capital Plan 2010 - 2014,New York City Transit,999999,Current,2013 Mainline Track Replacement on the 8th Avenue Line                                                                                                                                                                                                         ,,,,,11782,,,11782
T6050280,Capital Plan 2010 - 2014,New York City Transit,999999,Current,2013 Mainline Track Replacement on the Flushing Line                                                                                                                                                                                                           ,,,,,17296,,,17296
T6050281,Capital Plan 2010 - 2014,New York City Transit,999999,Current,2013 Mainline Track Replacement in the Greenpoint Tube                                                                                                                                                                                                         ,,,,,2877,,,2877
T6050282,Capital Plan 2010 - 2014,New York City Transit,999999,Current,Integrated Wheel and Rail Monitoring and Analytics                                                                                                                                                                                                             ,"For administrative purposes this project has been deactivated; the scope and funds have been transferred to a new project also referred to as ""Integrated Wheel and Rail Monitoring and Analytics"".",,,,,,,
T6050283,Capital Plan 2010 - 2014,New York City Transit,999999,Current,2014 Mainline Track Replacement on the 4 Avenue Line                                                                                                                                                                                                           ,,,,,,6840,,6840
T6050284,Capital Plan 2010 - 2014,New York City Transit,999999,Current,2014 Mainline Track Replacement on the 8 Avenue Line                                                                                                                                                                                                           ,,,,,,13635,,13635
T6050285,Capital Plan 2010 - 2014,New York City Transit,999999,Current,2014 Mainline Track Replacement on the Concourse Line                                                                                                                                                                                                          ,,,,,,2701,,2701
T6050286,Capital Plan 2010 - 2014,New York City Transit,999999,Current,2014 Mainline Track Replacement on the Queens Boulevard Line                                                                                                                                                                                                   ,Budget was adjusted based on final cost to complete. Additional funds were transferred from within the overall track program to address budgetary needs.,,,,,22654,,22654
T6050287,Capital Plan 2010 - 2014,New York City Transit,999999,Current,2014 Mainline Track Replacement on the White Plains Road Line                                                                                                                                                                                                  ,Budget was adjusted based on final cost to complete. Additional funds were transferred from within the overall track program to address budgetary needs.,,,,,23002,,23002
T6050288,Capital Plan 2010 - 2014,New York City Transit,999999,Current,2014 Mainline Track Replacement on the Eastern Parkway Line                                                                                                                                                                                                    ,,,,,,4781,,4781
T6050289,Capital Plan 2010 - 2014,New York City Transit,999999,Current,2014 Mainline Track Replacement on the Jerome Line                                                                                                                                                                                                             ,,,,,,10862,,10862
T6050290,Capital Plan 2010 - 2014,New York City Transit,999999,Current,2014 Mainline Track Replacement on the Lexington Avenue and 42 Street Shuttle Lines                                                                                                                                                                            ,Budget was adjusted based on final cost to complete. Additional funds were transferred from within the overall track program to address budgetary needs.,,,,,17241,,17241
T6050291,Capital Plan 2010 - 2014,New York City Transit,999999,Current,2014 Mainline Track Replacement on the Pelham Line                                                                                                                                                                                                             ,,,,,,22840,,22840
T6050292,Capital Plan 2010 - 2014,New York City Transit,999999,Current,2014 Mainline Track Replacement on the 7 Avenue Line                                                                                                                                                                                                           ,Budget was adjusted based on final cost to complete. Additional funds were transferred from within the overall track program to address budgetary needs. Current budget change due to financial closeout activities.,,,,,6067,,6067
T6050293,Capital Plan 2010 - 2014,New York City Transit,999999,Current,2014 Mainline Track Replacement on the Brighton Line                                                                                                                                                                                                           ,Budget was adjusted based on final cost to complete. Surplus funds were reallocated within the overall track program to address budgetary needs.,,,,,24758,,24758
T6050294,Capital Plan 2010 - 2014,New York City Transit,999999,Current,2014 Mainline Track Replacement on the Flushing Line                                                                                                                                                                                                           ,,,,,,5604,,5604
T6050298,Capital Plan 2010 - 2014,New York City Transit,999999,Current,2015 Mainline Track Replacement on the Queens Boulevard Line                                                                                                                                                                                                   ,This project includes advanced work using temporary funds. The budget decrease reflects the restoration of those funds.,,,,,,,
T6050299,Capital Plan 2010 - 2014,New York City Transit,999999,Current,2015 Mainline Track Replacement on the 8th Avenue Line                                                                                                                                                                                                         ,This project includes advanced work using temporary funds. The budget decrease reflects the restoration of those funds.,,,,,,,
T60502A2,Capital Plan 2010 - 2014,New York City Transit,999999,Current,2015 Welded Rail Installation on the Queens Boulevard Line                                                                                                                                                                                                     ,This project includes advanced work using temporary funds. The budget decrease reflects the restoration of those funds.,,,,,,,
T60502A4,Capital Plan 2010 - 2014,New York City Transit,999999,Current,2015 Mainline Track Replacement on the Flushing Line                                                                                                                                                                                                           ,This project includes advanced work using temporary funds. The budget decrease reflects the restoration of those funds.,,,,,,,
T60502A6,Capital Plan 2010 - 2014,New York City Transit,999999,Current,2015 Mainline Track Replacement on the Broadway 7th Avenue Line                                                                                                                                                                                                ,This project includes advanced work using temporary funds. The budget decrease reflects the restoration of those funds.,,,,,,,
T60502A7,Capital Plan 2010 - 2014,New York City Transit,999999,Current,2015 Mainline Track Replacement on the Lexington Avenue Line                                                                                                                                                                                                   ,This project includes advanced work using temporary funds. The budget decrease reflects the restoration of those funds.,,,,,,,
T60502A8,Capital Plan 2010 - 2014,New York City Transit,999999,Current,2015 Mainline Track Replacement on the Jerome Line                                                                                                                                                                                                             ,This project includes advanced work using temporary funds. The budget decrease reflects the restoration of those funds.,,,,,,,
T60502A9,Capital Plan 2010 - 2014,New York City Transit,999999,Current,2015 Mainline Track Replacement on the Dyre Avenue Line                                                                                                                                                                                                        ,This project includes advanced work using temporary funds. The budget decrease reflects the restoration of those funds.,,,,,,,
T6050301,Capital Plan 2010 - 2014,New York City Transit,999999,Current,2010 Mainline Switch Replacement                                                                                                                                                                                                                               ,,51795,,,,,,51795
T6050302,Capital Plan 2010 - 2014,New York City Transit,999999,Current,2011 Mainline Switch Replacement                                                                                                                                                                                                                               ,,1220,33975,587,,,,35781
T6050303,Capital Plan 2010 - 2014,New York City Transit,999999,Current,2012 Mainline Switch Replacement: Design and Support Costs                                                                                                                                                                                                     ,,,1381,5510,,,,6891
T6050304,Capital Plan 2010 - 2014,New York City Transit,999999,Current,2013 Mainline Switch Replacement: Design and Support Costs                                                                                                                                                                                                     ,,,,737,3769,,,4506
T6050305,Capital Plan 2010 - 2014,New York City Transit,999999,Current,2014 Mainline Switch Replacement: Design and Support Costs                                                                                                                                                                                                     ,Current budget change due to financial closeout activities.,,,,774,3426,,4199
T6050306,Capital Plan 2010 - 2014,New York City Transit,999999,Current,2015 Mainline Switch Replacement - Design Only                                                                                                                                                                                                                 ,,,,,,1590,,1590
T6050307,Capital Plan 2010 - 2014,New York City Transit,999999,Current,2011 Mainline Switch Replacement on the Jamaica Line                                                                                                                                                                                                           ,,,2693,,,,,2693
T6050308,Capital Plan 2010 - 2014,New York City Transit,999999,Current,2011 Mainline Switch Replacement on the Broadway Line                                                                                                                                                                                                          ,,,8059,,,,,8059
T6050309,Capital Plan 2010 - 2014,New York City Transit,999999,Current,2012 Mainline Switch Replacement on the West End Line                                                                                                                                                                                                          ,,,,6524,,,,6524
T6050310,Capital Plan 2010 - 2014,New York City Transit,999999,Current,2012 Mainline Switch Replacement on the Queens Blvd Line                                                                                                                                                                                                       ,,,,5705,,,,5705
T6050311,Capital Plan 2010 - 2014,New York City Transit,999999,Current,2012 Mainline Switch Replacement on the Broadway / 7 Av Line                                                                                                                                                                                                   ,,,,4944,,,,4944
T6050312,Capital Plan 2010 - 2014,New York City Transit,999999,Current,2012 Mainline Switch Replacement on the Eastern Parkway Line                                                                                                                                                                                                   ,,,,3568,,,,3568
T6050313,Capital Plan 2010 - 2014,New York City Transit,999999,Current,2012 Mainline Switch Replacement on the Lexington Avenue Line                                                                                                                                                                                                  ,,,,5972,,,,5972
T6050314,Capital Plan 2010 - 2014,New York City Transit,999999,Current,2012 Mainline Switch Replacement on the White Plains Road Line                                                                                                                                                                                                 ,,,,10013,,,,10013
T6050315,Capital Plan 2010 - 2014,New York City Transit,999999,Current,2012 Mainline Switch Replacement on the Eastern Parkway Line                                                                                                                                                                                                   ,,,,10059,,,,10059
T6050316,Capital Plan 2010 - 2014,New York City Transit,999999,Current,2012 Mainline Switch Replacement on the Eastern Parkway Line                                                                                                                                                                                                   ,,,,6831,,,,6831
T6050317,Capital Plan 2010 - 2014,New York City Transit,999999,Current,2013 Mainline Switch Replacement on the Queens Boulevard Line                                                                                                                                                                                                  ,,,,,13745,,,13745
T6050318,Capital Plan 2010 - 2014,New York City Transit,999999,Current,2013 Mainline Switch Replacement on the Jamaica Line                                                                                                                                                                                                           ,,,,,8700,,,8700
T6050319,Capital Plan 2010 - 2014,New York City Transit,999999,Current,2013 Mainline Switch Replacement on the 8th Avenue Line                                                                                                                                                                                                        ,,,,,2926,,,2926
T6050320,Capital Plan 2010 - 2014,New York City Transit,999999,Current,2013 Mainline Switch Replacement on the Brighton Line                                                                                                                                                                                                          ,,,,,7526,,,7526
T6050321,Capital Plan 2010 - 2014,New York City Transit,999999,Current,2014 Mainline Switch Replacement on the Eastern Parkway Line                                                                                                                                                                                                   ,Budget was adjusted based on final cost to complete. Additional funds were transferred from within the overall track program to address budgetary needs.,,,,,10798,,10798
T6050322,Capital Plan 2010 - 2014,New York City Transit,999999,Current,2014 Mainline Switch Replacement on the White Plains Road Line                                                                                                                                                                                                 ,Budget was adjusted based on final cost to complete. Surplus funds were reallocated within the overall track program to address budgetary needs.,,,,,14489,,14489
T6050323,Capital Plan 2010 - 2014,New York City Transit,999999,Current,2014 Mainline Switch Replacement on the Queens Boulevard Line                                                                                                                                                                                                  ,Budget was adjusted based on final cost to complete. Surplus funds were reallocated within the overall track program to address budgetary needs.,,,,,4749,,4749
T6050324,Capital Plan 2010 - 2014,New York City Transit,999999,Current,2015 Mainline Switch Replacement on the 6th Avenue Line                                                                                                                                                                                                        ,This project includes advanced work using temporary funds. The budget decrease reflects the restoration of those funds.,,,,,,,
T6050325,Capital Plan 2010 - 2014,New York City Transit,999999,Current,2015 Mainline Switch Replacement: Support Costs                                                                                                                                                                                                                ,This project includes advanced work using temporary funds. The budget decrease reflects the restoration of those funds.,,,,,,,
T6050326,Capital Plan 2010 - 2014,New York City Transit,999999,Current,2015 Mainline Switch Replacement on the Broadway-7th Avenue Line                                                                                                                                                                                               ,This project includes advanced work using temporary funds. The budget decrease reflects the restoration of those funds.,,,,,,,
T6050327,Capital Plan 2010 - 2014,New York City Transit,999999,Current,2015 Mainline Track Replacement: Support Costs                                                                                                                                                                                                                 ,This project includes advanced work using temporary funds. The budget decrease reflects the restoration of those funds.,,,,,,,
T6050328,Capital Plan 2010 - 2014,New York City Transit,999999,Current,2015 Mainline Track Replacement on the Canarsie Line                                                                                                                                                                                                           ,This project includes advanced work using temporary funds. The budget decrease reflects the restoration of those funds.,,,,,,,
T6060201,Capital Plan 2010 - 2014,New York City Transit,999999,Current,Replace Tunnel Lighting from the 11 St Portal- Queens Plaza on 60th Street Connection                                                                                                                                                                          ,,8185,,,,,,8185
T6060202,Capital Plan 2010 - 2014,New York City Transit,999999,Current,Replace Tunnel Lighting from 4 Av-Church Ave on the Culver Line                                                                                                                                                                                                ,,27803,109,39,,,,27951
T6060203,Capital Plan 2010 - 2014,New York City Transit,999999,Current,Replace Tunnel Lighting from Roosevelt Av-36 St on the Queens Blvd Line                                                                                                                                                                                        ,Track access has been limited due to a requirement to piggyback on outages for an adjacent signaling project.,991,,32330,18490,96,242,52148
T6060204,Capital Plan 2010 - 2014,New York City Transit,999999,Current,Tunnel Lighting Replacement for 2nd Avenue-63rd Street Connection                                                                                                                                                                                              ,This project includes advanced work using temporary funds. The budget decrease reflects the restoration of those funds.,,,,,,,
T6060302,Capital Plan 2010 - 2014,New York City Transit,999999,Current,Study for New Vent Plant South of Grand Central on the Lexington Av Line                                                                                                                                                                                       ,Budget was increased to provide additional funds for the in-house scope development of this project. Schedule extended to provide additional time for community input.,,,,2485,827,49,3360
T6060303,Capital Plan 2010 - 2014,New York City Transit,999999,Current,New Vent Plant at Mulry Square on the 8th Av Line                                                                                                                                                                                                              ,,,,53440,574,269,1576,55860
T6060304,Capital Plan 2010 - 2014,New York City Transit,999999,Current,New Vent Plant at 46 St on the Queens Blvd Line                                                                                                                                                                                                                ,,,,1424,75144,1783,1964,80315
T6060305,Capital Plan 2010 - 2014,New York City Transit,999999,Current,Replace Ventilation Controls at 22 Locations                                                                                                                                                                                                                   ,,,,732,628,13870,457,15687
T6060306,Capital Plan 2010 - 2014,New York City Transit,999999,Current,Replace Fan Plant Motor Control System at 10 Locations - Design Only                                                                                                                                                                                           ,This project includes advanced work using temporary funds. The budget decrease reflects the restoration of those funds.,,,,,,,
T6060307,Capital Plan 2010 - 2014,New York City Transit,999999,Current,Replace Supervisory Ventilation Controls at Various Locations - Design Only                                                                                                                                                                                    ,This project includes advanced work using temporary funds. The budget decrease reflects the restoration of those funds.,,,,,,30,30
T6060401,Capital Plan 2010 - 2014,New York City Transit,999999,Current,Rehabilitation of Deep Wells on the Nostrand Ave Line                                                                                                                                                                                                          ,Additional time is required to address constructability and track access issues; project milestones have been adjusted accordingly. This project will support other needs in the Capital Program and funds will be replenished at a later time.,,,,,,399,399
T6060402,Capital Plan 2010 - 2014,New York City Transit,999999,Current,Rehabilitation of Deep Wells on the Crosstown Line                                                                                                                                                                                                             ,,9137,19,,,,,9156
T6060403,Capital Plan 2010 - 2014,New York City Transit,999999,Current,"Rehab of Pumps at 4 Locations on the Pelham, Jerome, and Lenox Lines                                                                                                                                                                                           ",,,,1481,1472,15563,45,18561
T6060404,Capital Plan 2010 - 2014,New York City Transit,999999,Current,Rehab of Pumps at 2 Locations in Manhattan                                                                                                                                                                                                                     ,Budget change due to financial closeout activities.,,,,,,10385,10385
T6060405,Capital Plan 2010 - 2014,New York City Transit,999999,Current,Rehab of Pumps at 2 Locations in the Steinway Tube                                                                                                                                                                                                             ,Current budget change due to financial closeout activities.,,,,,2242,49,2291
T6070301,Capital Plan 2010 - 2014,New York City Transit,999999,Current,Structural Rehabilitation / Flood Wall at the 148 St Yard                                                                                                                                                                                                      ,,,18842,150,113,,,19105
T6070302,Capital Plan 2010 - 2014,New York City Transit,999999,Current,Rehabilitate Emergency Exits at 125 Locations                                                                                                                                                                                                                  ,,11072,,18481,,,,29554
T6070303,Capital Plan 2010 - 2014,New York City Transit,999999,Current,Rehabilitation of the Culver Viaduct (Underside) - Phase 3                                                                                                                                                                                                     ,,,41939,334,99,132,,42504
T6070304,Capital Plan 2010 - 2014,New York City Transit,999999,Current,Viaduct Repair on the Far Rockaway and Rockaway Lines                                                                                                                                                                                                          ,,35737,588,,114,,,36439
T6070305,Capital Plan 2010 - 2014,New York City Transit,999999,Current,Structure Repair from Cypress Hills-130 St on the Jamaica Line                                                                                                                                                                                                 ,,19665,426,40,,,,20132
T6070306,Capital Plan 2010 - 2014,New York City Transit,999999,Current,Demolish Abandoned Structures                                                                                                                                                                                                                                  ,"This project will abate asbestos and demolish a variety of abandoned structures along the right-of-way. To date, 31 structures have been completed, 14 are in process, and 9 have been determined to not need demolition.",,,5877,40,633,8567,15117
T6070307,Capital Plan 2010 - 2014,New York City Transit,999999,Current,Overcoat Painting of Steel Bridges on the Rockaway Line                                                                                                                                                                                                        ,Current budget change due to financial closeout activities.,2864,,20,,,,2884
T6070308,Capital Plan 2010 - 2014,New York City Transit,999999,Current,Overcoat Painting of 15 Bridges on the Brighton Line                                                                                                                                                                                                           ,,4426,,32,,,,4458
T6070309,Capital Plan 2010 - 2014,New York City Transit,999999,Current,Overcoat Painting from Portal-E 180 St on the White Plains Road Line                                                                                                                                                                                           ,The majority of this project is complete. The balance will be addressed in another contract within this project which is being prepared for procurement.,,,,26319,87,9220,35626
T6070311,Capital Plan 2010 - 2014,New York City Transit,999999,Current,Flood Mitigation at 6 Locations in Manhattan                                                                                                                                                                                                                   ,This project was reprogrammed per the approved July 2017 Plan Amendment.,,,,,,,
T6070312,Capital Plan 2010 - 2014,New York City Transit,999999,Current,Rehabilitation of Retaining Wall on the Sea Beach Line                                                                                                                                                                                                         ,"Budget updated to reflect latest estimate. Additional scope / repairs at various stations in Sea Beach contract: structural steel, fire alarms, water remediation, manhole repair, communications systems.",,,,,37031,7225,44256
T6070313,Capital Plan 2010 - 2014,New York City Transit,999999,Current,Structure Repairs on the Dyre Ave Line                                                                                                                                                                                                                         ,,,769,394,,9498,,10661
T6070314,Capital Plan 2010 - 2014,New York City Transit,999999,Current,Overcoat Painting from Broadway Junction-Cypress Hills on the Jamaica Line                                                                                                                                                                                     ,,,,15650,147,,,15797
T6070315,Capital Plan 2010 - 2014,New York City Transit,999999,Current,Overcoat Painting from Dyckman St-215 St on the Broadway-7th Av Line                                                                                                                                                                                           ,,,522,,10850,46,,11419
T6070316,Capital Plan 2010 - 2014,New York City Transit,999999,Current,Priority Structure Repairs on the 4th Av Line                                                                                                                                                                                                                  ,"The project was delayed due to the identification of additional high priority defects which necessitated additional column replacement, concrete repairs, and replacement of ventilator gratings and drip pans.",,,,731,25,30444,31200
T6070317,Capital Plan 2010 - 2014,New York City Transit,999999,Current,Overcoat Painting from Church Ave Portal-W 8 St on the Culver Line - Design Only                                                                                                                                                                               ,,,,777,27,,,805
T6070318,Capital Plan 2010 - 2014,New York City Transit,999999,Current,Overcoat Painting from Cypress Hills-130 St on the Jamaica Line                                                                                                                                                                                                ,,15774,19,126,,,,15919
T6070319,Capital Plan 2010 - 2014,New York City Transit,999999,Current,Overcoat Painting from Broadway Junction-New Lots Ave on the Canarsie Line                                                                                                                                                                                     ,,,,970,122,25253,2724,29069
T6070320,Capital Plan 2010 - 2014,New York City Transit,999999,Current,Stabilization of Trackway on the Franklin Ave Shuttle                                                                                                                                                                                                          ,,,,,,,,
T6070321,Capital Plan 2010 - 2014,New York City Transit,999999,Current,Steinway Tube Rehabilitation                                                                                                                                                                                                                                   ,Budget change due to financial closeout activities.,,4621,5486,,545,2857,13509
T6070322,Capital Plan 2010 - 2014,New York City Transit,999999,Current,Portal Repairs on the Broadway-7 Avenue Line                                                                                                                                                                                                                   ,,,902,5,20354,,312,21573
T6070323,Capital Plan 2010 - 2014,New York City Transit,999999,Current,Structural Repairs at Delancey Street on the Nassau Loop Line - Design Only                                                                                                                                                                                    ,,,,334,,,,334
T6070324,Capital Plan 2010 - 2014,New York City Transit,999999,Current,Structural Repairs at 9 Avenue Station on the West End Line                                                                                                                                                                                                    ,"This is a multi phased project with work being performed by in-house forces and 3rd party contract. The work was awarded and completed as follows: initial in-house portion (Jul 2012 / Jan 2014); 3rd Party portion (Jun 2014 / Dec 2016); final in-house portion (Sept 2018 / Jun 2019). Budget was adjusted based on the cost of construction and support requirements at the time of award. Budget was later increased to address additional steel repairs, unforeseen field conditions and additional support costs; schedule was extended accordingly.",,,4762,,20803,1900,27465
T6070325,Capital Plan 2010 - 2014,New York City Transit,999999,Current,Structural Repairs at Delancey Street between Norfolk and Suffolk on the Nassau Loop Line (SBMP)                                                                                                                                                               ,Budget change due to financial closeout activities.,,,,863,,2,864
T6070326,Capital Plan 2010 - 2014,New York City Transit,999999,Current,Structural Repairs at Delancey Street between Essex and Norfolk on the Nassau Loop Line (SBMP)                                                                                                                                                                 ,,,,,1067,15,,1082
T6070327,Capital Plan 2010 - 2014,New York City Transit,999999,Current,Overcoat Painting from Church Ave Portal-Kings Highway on the Culver Line                                                                                                                                                                                      ,This project was reprogrammed per the approved July 2017 Plan Amendment.,,,,,,,
T6070328,Capital Plan 2010 - 2014,New York City Transit,999999,Current,Overcoat Painting from Kings Highway-West 8th Street on the Culver Line                                                                                                                                                                                        ,This project was reprogrammed per the approved July 2017 Plan Amendment.,,,,,,,
T6070329,Capital Plan 2010 - 2014,New York City Transit,999999,Current,Repair of Vent Chamber at Southern Boulevard and 147th Street on the Pelham Line                                                                                                                                                                               ,,,,,,1009,,1009
T6070330,Capital Plan 2010 - 2014,New York City Transit,999999,Current,Structure Repairs from Boston Road-North of East 180 St on the White Plains Road Line - Design Only                                                                                                                                                            ,This project includes advanced work using temporary funds. The budget decrease reflects the restoration of those funds.,,,,,,,
T6070331,Capital Plan 2010 - 2014,New York City Transit,999999,Current,Overcoat Painting from 157 St Portal-162 St on the Jerome Line - Design Only                                                                                                                                                                                   ,This project includes advanced work using temporary funds. The budget decrease reflects the restoration of those funds.,,,,,,,
T6070332,Capital Plan 2010 - 2014,New York City Transit,999999,Current,Bridge Work and Overcoat Painting at Dyre Ave Station on the Dyre Avenue Line                                                                                                                                                                                  ,Budget change due to financial closeout activities.,,,,,,3246,3246
T6070333,Capital Plan 2010 - 2014,New York City Transit,999999,Current,Overcoat Painting at Williamsburg Bridge and Myrtle Avenue on the Jamaica Line in Brooklyn - Design Only                                                                                                                                                       ,This project includes advanced work using temporary funds. The budget decrease reflects the restoration of those funds.,,,,,,,
T6070334,Capital Plan 2010 - 2014,New York City Transit,999999,Current,Overcoat Painting and Component Steel Repair at 17 Bridges on the Dyre Avenue Line and the Flyover at East 180th Street Yard - Design Only                                                                                                                     ,This project includes advanced work using temporary funds. The budget decrease reflects the restoration of those funds.,,,,,,119,119
T6070335,Capital Plan 2010 - 2014,New York City Transit,999999,Current,Overcoat Painting and Steel Repair from 72 St to 103 St on the Flushing Line  - Design Only                                                                                                                                                                    ,This project includes advanced work using temporary funds. The budget decrease reflects the restoration of those funds.,,,,,,,
T6070336,Capital Plan 2010 - 2014,New York City Transit,999999,Current,Structure Repair of Viaduct and Deck Sections on the Myrtle Line - Design Only                                                                                                                                                                                 ,Additional interim funding was provided to complete design. This project includes advanced work using temporary funds. The budget decrease reflects the restoration of those funds.,,,,,,2029,2029
T6070337,Capital Plan 2010 - 2014,New York City Transit,999999,Current,Overcoat Painting and Steel Repair at the End of the Myrtle Line - Design Only                                                                                                                                                                                 ,This project includes advanced work using temporary funds. The budget decrease reflects the restoration of those funds.,,,,,,45,45
T6070338,Capital Plan 2010 - 2014,New York City Transit,999999,Current,Structure Repairs in Downtown Manhattan - Design Only                                                                                                                                                                                                          ,This project includes advanced work using temporary funds. The budget decrease reflects the restoration of those funds.,,,,,,,
T6070339,Capital Plan 2010 - 2014,New York City Transit,999999,Current,Structure Repairs in Uptown Manhattan on the Broadway 7th Av and 8th Av Lines - Design Only                                                                                                                                                                    ,This project includes advanced work using temporary funds. The budget decrease reflects the restoration of those funds. Construction of this project is in a future capital program. Delay is due to track access and other coordination issues with work on the right of way.,,,,,,710,710
T6070340,Capital Plan 2010 - 2014,New York City Transit,999999,Current,Replace Bridge Over Atlantic Avenue on the Myrtle Line - Design Only                                                                                                                                                                                           ,This project includes advanced work using temporary funds. The budget decrease reflects the restoration of those funds.,,,,,,524,524
T6070341,Capital Plan 2010 - 2014,New York City Transit,999999,Current,Structure Repairs on the Concourse Line in the Bronx - Design Only                                                                                                                                                                                             ,This project includes advanced work using temporary funds. The budget decrease reflects the restoration of those funds.,,,,,,,
T6070342,Capital Plan 2010 - 2014,New York City Transit,999999,Current,Water Condition Remedy for 2nd Avenue-63rd Street Connection                                                                                                                                                                                                   ,This project includes advanced work using temporary funds. The budget decrease reflects the restoration of those funds.,,,,,,,
T6080301,Capital Plan 2010 - 2014,New York City Transit,999999,Current,Modification of Signal Control Lines - Phase 4                                                                                                                                                                                                                 ,,,22749,283,303,,,23335
